,mzmed,rtmed,isotopes
peakpos226,668.623517009968,15.392678333333302,[1230][M+2]+
peakpos227,570.546983342399,6.3281428,
peakpos228,940.815194488385,15.471236,[3279][M+1]+
peakpos229,804.550279316035,6.7643668,[2240][M]+
peakpos230,1223.8524501784,8.70989245,[3931][M+1]+
peakpos231,944.84513859364,15.881276000000002,[3298][M+1]+
peakpos232,933.8642377386619,16.0557635,
peakpos233,818.7220897999631,15.113539000000001,[2368][M]+
peakpos234,871.771112381949,16.125556,[2813][M]+
peakpos235,940.799528742904,15.395728333333302,
peakpos236,710.5179071396719,10.446032,[1466][M+2]+
peakpos237,855.73936996028,15.836904999999998,
peakpos238,1319.23440704284,15.680617000000002,[4011][M]+
peakpos239,730.6652841837371,14.904155,[1626][M+2]+
peakpos240,1194.81635700511,8.70989045,[3889][M]+
peakpos241,761.5778439253701,6.816714900000001,[1859][M+3]+
peakpos242,1320.23505971974,15.680617000000002,[4011][M+1]+
peakpos243,740.651471762867,6.50263315,[1681][M+2]+
peakpos244,822.739435076344,15.343189166666699,[2389][M+1]+
peakpos245,808.5748584079449,6.52442543333333,[2254][M+2]+
peakpos246,813.683751603317,9.643392500000001,[2316][M]+
peakpos247,818.6375435666431,7.54955805,[2367][M]+
peakpos248,782.5648618004311,7.5495577,[2053][M]2+
peakpos249,553.537996577331,8.0904666,[765][M+1]+
peakpos250,921.7711642903599,15.209504500000001,[3169][M+1]+
peakpos251,868.651283420534,7.7414931,[2788][M]+
peakpos252,945.858167894354,16.063765,[3310][M]+
peakpos253,890.815825700694,15.741627666666698,
peakpos254,919.832978130154,15.855101000000001,[3146][M+2]+
peakpos255,908.8453181293311,16.125557999999998,[3077][M+1]+
peakpos256,954.847386271354,15.785297,[3362][M]+
peakpos257,903.740708642254,15.575914000000001,[3041][M+1]+
peakpos258,682.362380748907,4.2255898,[1312][M]+
peakpos259,914.8499890906289,15.389557333333302,
peakpos260,906.8306064421471,15.95979,[3070][M]+
peakpos261,857.7577936259689,15.645728,
peakpos262,892.8142037750811,15.832459166666698,[2962][M+1]+
peakpos263,944.861837062114,15.645725500000001,[3303][M]+
peakpos264,817.62492466565,6.825429,[2348][M+1]+
peakpos265,590.603314312254,7.0086519,[884][M+1]+
peakpos266,872.8308271156579,15.593376000000001,[2809][M+2]+
peakpos267,952.8320569922802,15.541035999999998,[3350][M]+
peakpos268,786.590561510714,7.0697208,[2066][M+2]+
peakpos269,911.779434431604,15.253116,[3102][M]+
peakpos270,896.854617233488,16.125549,[2997][M+1]+
peakpos271,696.5751653188879,15.200779500000001,[1393][M+1]+
peakpos272,680.478976235834,10.4461966666667,[1296][M]+
peakpos273,764.572100537733,10.4504728333333,[1900][M]+
peakpos274,932.853223678058,15.881276000000002,
peakpos275,773.6246867694299,9.3729335,[1976][M+1]+
peakpos276,835.6031973379539,7.4274152,[2506][M+1]+
peakpos277,885.764910097129,15.148434,[2921][M]+
peakpos278,725.5550812318879,6.30198135,[1606][M]+
peakpos279,535.526976658991,8.09046625,[695][M+1]+
